,wl [10^-6m],omega [10^9Hz],Energy [eV],Brechungsindex Luft,Brechungsindex Gold,Brechungsindex Al2O3,Brechungsindex BK7,dielectric constant air,dielectric constant Gold
69,0.5041231700000001,3.736490761392405,2.4597163427342563,(1+0j),(0.8156871228701549+1.9470269796394206j),(1.7739607639154933+0j),(1.5211436643138128+0j),(1+0j),(1.2096843733343345+0.8047665252848968j)
70,0.50474802,3.731865193465947,2.4566713505879627,(1+0j),(0.8048327203021367+1.9544227829705194j),(1.7739076282489092+0j),(1.5211031978452594+0j),(1+0j),(1.2079910110167817+0.8089558469998284j)
71,0.50537286,3.72725113752419,2.4536339367333655,(1+0j),(0.7939784914462474+1.9618184679403603j),(1.7738546849438557+0j),(1.52106288073345+0j),(1+0j),(1.2063114958188297+0.8131475471883411j)
72,0.50599771,3.72264840350533,2.4506039760535674,(1+0j),(0.7831240888782273+1.9692142712714604j),(1.7738019312825535+0j),(1.5210227108819216+0j),(1+0j),(1.2046457687706342+0.8173416295153239j)
73,0.50662256,3.718057023178859,2.447581489462293,(1+0j),(0.7722696863102071+1.9766100746025606j),(1.7737493670974414+0j),(1.5209826881365478+0j),(1+0j),(1.2029938496957502+0.8215378969320858j)
74,0.5072474100000001,3.7134769545868216,2.4445664493387946,(1+0j),(0.7614152837421869+1.9840058779336607j),(1.7736969913788345+0j),(1.5209428117021755+0j),(1+0j),(1.2013557294940813+0.825736220015853j)
75,0.50787225,3.70890822900612,2.441558876272527,(1+0j),(0.7505610548862997+1.9914015629035002j),(1.773644803957431+0j),(1.5209030814236932+0j),(1+0j),(1.1997314230383362+0.8299364027076362j)
76,0.50849707,3.704350877201423,2.438558790515745,(1+0j),(0.7397071734546762+1.99879701115082j),(1.7735928046586327+0j),(1.520863497142059+0j),(1+0j),(1.198120942429741+0.8341382494731042j)
77,0.50912192,3.699804493408678,2.435565924955657,(1+0j),(0.728852770886656+2.00619281448192j),(1.7735409883359659+0j),(1.520824054913908+0j),(1+0j),(1.1965241443544437+0.8383419690892715j)
78,0.50974673,3.695269545542456,2.4325805876184825,(1+0j),(0.7179990631671636+2.01358814436798j),(1.7734893598065817+0j),(1.5207847583804814+0j),(1+0j),(1.1949411907561327+0.8425469637940197j)
79,0.51037158,3.6907454120169723,2.4296023693168807,(1+0j),(0.7085120136884434+2.0225863548647807j),(1.773437911483176+0j),(1.520745601741519+0j),(1+0j),(1.1940695891308282+0.8469298495144809j)
80,0.5109964,3.686232559189954,2.426631577052206,(1+0j),(0.6999573667615199+2.0326762862524004j),(1.7733866481633624+0j),(1.520706588623445+0j),(1+0j),(1.1936863872527537+0.8514281087390826j)
81,0.51162122,3.681730729051569,2.423668040977659,(1+0j),(0.6914027198345963+2.0427662176400196j),(1.7733355664086272+0j),(1.5206677163844078+0j),(1+0j),(1.1933156686692254+0.8559203030988831j)
82,0.51224603,3.677239953053132,2.4207117817975083,(1+0j),(0.6828482098214539+2.0528559875422303j),(1.77328466607448+0j),(1.5206289848897692+0j),(1+0j),(1.1929573320144764+0.86040629134476j)
83,0.51287085,3.67276004730792,2.417762678459889,(1+0j),(0.6742935628945302+2.0629459189298496j),(1.773233944580173+0j),(1.5205903921513557+0j),(1+0j),(1.1926112587620725+0.8648861495199962j)
84,0.5134956700000001,3.668291043834611,2.414820752042563,(1+0j),(0.6657389159676051+2.073035850317471j),(1.7731834017965482+0j),(1.5205519380467536+0j),(1+0j),(1.1922773476690753+0.8693597401520272j)
85,0.5141204800000001,3.663832974148108,2.4118860232916606,(1+0j),(0.6571844059544628+2.0831256202196817j),(1.7731330375891576+0j),(1.5205136224496074+0j),(1+0j),(1.191955496729678+0.8738269280753655j)
86,0.5147453000000001,3.6593856559911337,2.4089583722279735,(1+0j),(0.6486297590275392+2.093215551607301j),(1.7730828494128694+0j),(1.5204754433998577+0j),(1+0j),(1.1916455886315378+0.8782877944486449j)
87,0.51537012,3.654949121436945,2.406037819965193,(1+0j),(0.6400751121006156+2.1033054829949207j),(1.7730328371482313+0j),(1.5204374007830967+0j),(1+0j),(1.191347521693252+0.8827422077503928j)
88,0.51599493,3.650523402059112,2.403124387288069,(1+0j),(0.6315206020874747+2.113395252897129j),(1.772983000670536+0j),(1.5203994944809995+0j),(1+0j),(1.191061193589969+0.8871900387112603j)
89,0.5166197499999999,3.646108317207876,2.4002179552756164,(1+0j),(0.6229659551605511+2.123485184284749j),(1.7729333374695662+0j),(1.5203617225610528+0j),(1+0j),(1.1907864884892534+0.8916313733870154j)
90,0.51724451,3.641704321441426,2.3973188231616027,(1+0j),(0.6144121297163176+2.1335741467599108j),(1.772883852179409+0j),(1.5203240885244418+0j),(1+0j),(1.190523329297598+0.896065660476686j)
91,0.5178693200000001,3.637310600498313,2.3944264549210983,(1+0j),(0.6058576197031752+2.143663916662121j),(1.7728345351800514+0j),(1.5202865850321718+0j),(1+0j),(1.1902715631278782+0.9004936281216583j)
92,0.51849414,3.6329273987722464,2.3915410114374676,(1+0j),(0.5973029727762516+2.1537538480497407j),(1.7727853887562182+0j),(1.520249213799414+0j),(1+0j),(1.1900311016913345+0.9049149408736935j)
93,0.5191189,3.628555167821578,2.3886627899696964,(1+0j),(0.5887491473320196+2.163842810524901j),(1.7727364175018854+0j),(1.5202119782967043+0j),(1+0j),(1.1898018647933502+0.9093290549266059j)
94,0.51974371,3.6241930995352565,2.385791258541638,(1+0j),(0.5801946373188787+2.1739325804271092j),(1.7726876119049357+0j),(1.5201748712691419+0j),(1+0j),(1.1895837063054977+0.9137367000337933j)
95,0.5203685299999999,3.619841436815661,2.3829265770549193,(1+0j),(0.5734622556709467+2.183613139108949j),(1.7726389742341593+0j),(1.5201378944199775+0j),(1+0j),(1.189773404492558+0.917659249594786j)
