Durchmesser [cm] 
4.1
3.85
4.00
4.20
3.90
3.90
3.95
4.05
3.85
3.95
4.10
4.00
3.85
4.20
4.20
3.90
4.15
3.95
4.15
4.00
4.10
4.00
