X,CH1,
Second,Volt,
-6.0776854e+00,6.60000e-03,
-6.0769529e+00,6.60000e-03,
-6.0762205e+00,6.60000e-03,
-6.0754881e+00,6.60000e-03,
-6.0747557e+00,6.60000e-03,
-6.0740232e+00,6.60000e-03,
-6.0732908e+00,6.60000e-03,
-6.0725584e+00,6.40000e-03,
-6.0718260e+00,6.60000e-03,
-6.0710936e+00,6.60000e-03,
-6.0703611e+00,6.60000e-03,
-6.0696287e+00,6.60000e-03,
-6.0688963e+00,6.60000e-03,
-6.0681639e+00,6.60000e-03,
-6.0674314e+00,6.60000e-03,
-6.0666990e+00,6.60000e-03,
-6.0659666e+00,6.60000e-03,
-6.0652342e+00,6.60000e-03,
-6.0645018e+00,6.60000e-03,
-6.0637693e+00,6.60000e-03,
-6.0630369e+00,6.60000e-03,
-6.0623045e+00,6.60000e-03,
-6.0615721e+00,6.60000e-03,
-6.0608397e+00,6.60000e-03,
-6.0601072e+00,6.60000e-03,
-6.0593748e+00,6.60000e-03,
-6.0586424e+00,6.60000e-03,
-6.0579100e+00,6.20000e-03,
-6.0571775e+00,6.60000e-03,
-6.0564451e+00,6.60000e-03,
-6.0557127e+00,6.60000e-03,
-6.0549803e+00,6.60000e-03,
-6.0542479e+00,6.60000e-03,
-6.0535154e+00,6.60000e-03,
-6.0527830e+00,6.60000e-03,
-6.0520506e+00,6.60000e-03,
-6.0513182e+00,6.60000e-03,
-6.0505857e+00,6.60000e-03,
-6.0498533e+00,6.60000e-03,
-6.0491209e+00,6.60000e-03,
-6.0483885e+00,6.60000e-03,
-6.0476561e+00,6.60000e-03,
-6.0469236e+00,6.60000e-03,
-6.0461912e+00,6.80000e-03,
-6.0454588e+00,6.60000e-03,
-6.0447264e+00,6.60000e-03,
-6.0439939e+00,6.60000e-03,
-6.0432615e+00,6.60000e-03,
-6.0425291e+00,6.60000e-03,
-6.0417967e+00,6.60000e-03,
-6.0410643e+00,6.60000e-03,
-6.0403318e+00,6.60000e-03,
-6.0395994e+00,6.80000e-03,
-6.0388670e+00,6.60000e-03,
-6.0381346e+00,6.80000e-03,
-6.0374022e+00,6.60000e-03,
-6.0366697e+00,6.80000e-03,
-6.0359373e+00,6.60000e-03,
-6.0352049e+00,6.60000e-03,
-6.0344725e+00,6.60000e-03,
-6.0337400e+00,6.60000e-03,
-6.0330076e+00,6.60000e-03,
-6.0322752e+00,6.60000e-03,
-6.0315428e+00,6.60000e-03,
-6.0308104e+00,6.60000e-03,
-6.0300779e+00,6.60000e-03,
-6.0293455e+00,6.60000e-03,
-6.0286131e+00,6.60000e-03,
-6.0278807e+00,6.60000e-03,
-6.0271482e+00,6.80000e-03,
-6.0264158e+00,6.80000e-03,
-6.0256834e+00,6.60000e-03,
-6.0249510e+00,6.80000e-03,
-6.0242186e+00,6.80000e-03,
-6.0234861e+00,6.60000e-03,
-6.0227537e+00,6.60000e-03,
-6.0220213e+00,6.60000e-03,
-6.0212889e+00,6.60000e-03,
-6.0205564e+00,6.60000e-03,
-6.0198240e+00,6.60000e-03,
-6.0190916e+00,6.60000e-03,
-6.0183592e+00,6.60000e-03,
-6.0176268e+00,6.60000e-03,
-6.0168943e+00,6.80000e-03,
-6.0161619e+00,6.60000e-03,
-6.0154295e+00,6.80000e-03,
-6.0146971e+00,6.60000e-03,
-6.0139647e+00,6.60000e-03,
-6.0132322e+00,6.80000e-03,
-6.0124998e+00,6.80000e-03,
-6.0117674e+00,6.60000e-03,
-6.0110350e+00,6.60000e-03,
-6.0103025e+00,6.80000e-03,
-6.0095701e+00,6.60000e-03,
-6.0088377e+00,6.80000e-03,
-6.0081053e+00,6.80000e-03,
-6.0073729e+00,6.80000e-03,
-6.0066404e+00,6.80000e-03,
