GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.48  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 5.448631E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 5.447858E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 6.491563E-6 6.491563E-13 6.491563E+1 1.000000E-2 1.000000E+0
2.000000E-7 7.494420E-6 1.498884E-12 3.747210E+1 1.000000E-2 1.000000E+0
3.000000E-7 8.531146E-6 2.559344E-12 2.843715E+1 1.000000E-2 1.000000E+0
4.000000E-7 9.566320E-6 3.826528E-12 2.391580E+1 1.000000E-2 1.000000E+0
5.000000E-7 1.063097E-5 5.315483E-12 2.126193E+1 1.000000E-2 1.000000E+0
6.000000E-7 1.167416E-5 7.004493E-12 1.945693E+1 1.000000E-2 1.000000E+0
7.000000E-7 1.271683E-5 8.901779E-12 1.816690E+1 1.000000E-2 1.000000E+0
8.000000E-7 1.370469E-5 1.096375E-11 1.713086E+1 1.000000E-2 1.000000E+0
9.000000E-7 1.473081E-5 1.325773E-11 1.636757E+1 1.000000E-2 1.000000E+0
1.000000E-6 1.580735E-5 1.580735E-11 1.580735E+1 1.000000E-2 1.000000E+0
1.100000E-6 1.685390E-5 1.853929E-11 1.532173E+1 1.000000E-2 1.000000E+0
1.200000E-6 1.786348E-5 2.143618E-11 1.488624E+1 1.000000E-2 1.000000E+0
1.300000E-6 1.890434E-5 2.457565E-11 1.454180E+1 1.000000E-2 1.000000E+0
1.400000E-6 1.994779E-5 2.792691E-11 1.424842E+1 1.000000E-2 1.000000E+0
1.500000E-6 2.098839E-5 3.148259E-11 1.399226E+1 1.000000E-2 1.000000E+0
1.600000E-6 2.200702E-5 3.521124E-11 1.375439E+1 1.000000E-2 1.000000E+0
1.700000E-6 2.305099E-5 3.918668E-11 1.355940E+1 1.000000E-2 1.000000E+0
1.800000E-6 2.407142E-5 4.332856E-11 1.337301E+1 1.000000E-2 1.000000E+0
1.900000E-6 2.511151E-5 4.771187E-11 1.321658E+1 1.000000E-2 1.000000E+0
