GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.47  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 5.465952E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 5.499047E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 6.512504E-6 6.512504E-13 6.512504E+1 1.000000E-2 1.000000E+0
2.000000E-7 7.543283E-6 1.508657E-12 3.771641E+1 1.000000E-2 1.000000E+0
3.000000E-7 8.570959E-6 2.571288E-12 2.856986E+1 1.000000E-2 1.000000E+0
4.000000E-7 9.600704E-6 3.840282E-12 2.400176E+1 1.000000E-2 1.000000E+0
5.000000E-7 1.061700E-5 5.308502E-12 2.123401E+1 1.000000E-2 1.000000E+0
6.000000E-7 1.161934E-5 6.971607E-12 1.936557E+1 1.000000E-2 1.000000E+0
7.000000E-7 1.264987E-5 8.854906E-12 1.807124E+1 1.000000E-2 1.000000E+0
8.000000E-7 1.367470E-5 1.093976E-11 1.709337E+1 1.000000E-2 1.000000E+0
9.000000E-7 1.470341E-5 1.323307E-11 1.633712E+1 1.000000E-2 1.000000E+0
1.000000E-6 1.573031E-5 1.573031E-11 1.573031E+1 1.000000E-2 1.000000E+0
1.100000E-6 1.673006E-5 1.840307E-11 1.520915E+1 1.000000E-2 1.000000E+0
1.200000E-6 1.776653E-5 2.131984E-11 1.480544E+1 1.000000E-2 1.000000E+0
1.300000E-6 1.878593E-5 2.442171E-11 1.445072E+1 1.000000E-2 1.000000E+0
1.400000E-6 1.980482E-5 2.772675E-11 1.414630E+1 1.000000E-2 1.000000E+0
1.500000E-6 2.082396E-5 3.123595E-11 1.388264E+1 1.000000E-2 1.000000E+0
1.600000E-6 2.185940E-5 3.497504E-11 1.366212E+1 1.000000E-2 1.000000E+0
1.700000E-6 2.290207E-5 3.893352E-11 1.347180E+1 1.000000E-2 1.000000E+0
1.800000E-6 2.389588E-5 4.301258E-11 1.327549E+1 1.000000E-2 1.000000E+0
1.900000E-6 2.492148E-5 4.735082E-11 1.311657E+1 1.000000E-2 1.000000E+0
