GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.47  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 1.487359E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 1.493306E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 2.238145E-6 2.238145E-13 2.238145E+1 1.000000E-2 1.000000E+0
2.000000E-7 2.968247E-6 5.936494E-13 1.484123E+1 1.000000E-2 1.000000E+0
3.000000E-7 3.698866E-6 1.109660E-12 1.232955E+1 1.000000E-2 1.000000E+0
4.000000E-7 4.439827E-6 1.775931E-12 1.109957E+1 1.000000E-2 1.000000E+0
5.000000E-7 5.165793E-6 2.582897E-12 1.033159E+1 1.000000E-2 1.000000E+0
6.000000E-7 5.923817E-6 3.554290E-12 9.873029E+0 1.000000E-2 1.000000E+0
7.000000E-7 6.673568E-6 4.671498E-12 9.533669E+0 1.000000E-2 1.000000E+0
8.000000E-7 7.409358E-6 5.927487E-12 9.261698E+0 1.000000E-2 1.000000E+0
9.000000E-7 8.147217E-6 7.332495E-12 9.052463E+0 1.000000E-2 1.000000E+0
1.000000E-6 8.902914E-6 8.902914E-12 8.902914E+0 1.000000E-2 1.000000E+0
1.100000E-6 9.628363E-6 1.059120E-11 8.753057E+0 1.000000E-2 1.000000E+0
1.200000E-6 1.035821E-5 1.242985E-11 8.631839E+0 1.000000E-2 1.000000E+0
1.300000E-6 1.112140E-5 1.445782E-11 8.554924E+0 1.000000E-2 1.000000E+0
1.400000E-6 1.183263E-5 1.656568E-11 8.451879E+0 1.000000E-2 1.000000E+0
1.500000E-6 1.260643E-5 1.890964E-11 8.404284E+0 1.000000E-2 1.000000E+0
1.600000E-6 1.333058E-5 2.132893E-11 8.331613E+0 1.000000E-2 1.000000E+0
1.700000E-6 1.406792E-5 2.391547E-11 8.275249E+0 1.000000E-2 1.000000E+0
1.800000E-6 1.481664E-5 2.666995E-11 8.231467E+0 1.000000E-2 1.000000E+0
1.900000E-6 1.556122E-5 2.956632E-11 8.190116E+0 1.000000E-2 1.000000E+0
