GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.46  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 1.378775E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 1.373088E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 2.117669E-6 2.117669E-13 2.117669E+1 1.000000E-2 1.000000E+0
2.000000E-7 2.848030E-6 5.696060E-13 1.424015E+1 1.000000E-2 1.000000E+0
3.000000E-7 3.581494E-6 1.074448E-12 1.193831E+1 1.000000E-2 1.000000E+0
4.000000E-7 4.311338E-6 1.724535E-12 1.077834E+1 1.000000E-2 1.000000E+0
5.000000E-7 5.042475E-6 2.521237E-12 1.008495E+1 1.000000E-2 1.000000E+0
6.000000E-7 5.757324E-6 3.454394E-12 9.595540E+0 1.000000E-2 1.000000E+0
7.000000E-7 6.489753E-6 4.542827E-12 9.271076E+0 1.000000E-2 1.000000E+0
8.000000E-7 7.229681E-6 5.783744E-12 9.037101E+0 1.000000E-2 1.000000E+0
9.000000E-7 7.975295E-6 7.177766E-12 8.861439E+0 1.000000E-2 1.000000E+0
1.000000E-6 8.698418E-6 8.698418E-12 8.698418E+0 1.000000E-2 1.000000E+0
1.100000E-6 9.431106E-6 1.037422E-11 8.573733E+0 1.000000E-2 1.000000E+0
1.200000E-6 1.018551E-5 1.222261E-11 8.487926E+0 1.000000E-2 1.000000E+0
1.300000E-6 1.090579E-5 1.417753E-11 8.389069E+0 1.000000E-2 1.000000E+0
1.400000E-6 1.162658E-5 1.627722E-11 8.304703E+0 1.000000E-2 1.000000E+0
1.500000E-6 1.236780E-5 1.855171E-11 8.245203E+0 1.000000E-2 1.000000E+0
1.600000E-6 1.310127E-5 2.096203E-11 8.188293E+0 1.000000E-2 1.000000E+0
1.700000E-6 1.383602E-5 2.352124E-11 8.138838E+0 1.000000E-2 1.000000E+0
1.800000E-6 1.457052E-5 2.622694E-11 8.094735E+0 1.000000E-2 1.000000E+0
1.900000E-6 1.529959E-5 2.906922E-11 8.052416E+0 1.000000E-2 1.000000E+0
