GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.45  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 1.659286E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 1.644034E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 2.403610E-6 2.403610E-13 2.403610E+1 1.000000E-2 1.000000E+0
2.000000E-7 3.134747E-6 6.269494E-13 1.567374E+1 1.000000E-2 1.000000E+0
3.000000E-7 3.852441E-6 1.155732E-12 1.284147E+1 1.000000E-2 1.000000E+0
4.000000E-7 4.597539E-6 1.839016E-12 1.149385E+1 1.000000E-2 1.000000E+0
5.000000E-7 5.328935E-6 2.664467E-12 1.065787E+1 1.000000E-2 1.000000E+0
6.000000E-7 6.057487E-6 3.634492E-12 1.009581E+1 1.000000E-2 1.000000E+0
7.000000E-7 6.786039E-6 4.750227E-12 9.694341E+0 1.000000E-2 1.000000E+0
8.000000E-7 7.514332E-6 6.011466E-12 9.392915E+0 1.000000E-2 1.000000E+0
9.000000E-7 8.258138E-6 7.432324E-12 9.175708E+0 1.000000E-2 1.000000E+0
1.000000E-6 8.975055E-6 8.975055E-12 8.975055E+0 1.000000E-2 1.000000E+0
1.100000E-6 9.718344E-6 1.069018E-11 8.834858E+0 1.000000E-2 1.000000E+0
1.200000E-6 1.044017E-5 1.252821E-11 8.700145E+0 1.000000E-2 1.000000E+0
1.300000E-6 1.118760E-5 1.454388E-11 8.605845E+0 1.000000E-2 1.000000E+0
1.400000E-6 1.190839E-5 1.667175E-11 8.505996E+0 1.000000E-2 1.000000E+0
1.500000E-6 1.265246E-5 1.897869E-11 8.434973E+0 1.000000E-2 1.000000E+0
1.600000E-6 1.338282E-5 2.141251E-11 8.364263E+0 1.000000E-2 1.000000E+0
1.700000E-6 1.411060E-5 2.398801E-11 8.300351E+0 1.000000E-2 1.000000E+0
1.800000E-6 1.484587E-5 2.672257E-11 8.247706E+0 1.000000E-2 1.000000E+0
1.900000E-6 1.558942E-5 2.961989E-11 8.204957E+0 1.000000E-2 1.000000E+0
