GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.75  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 1.590513E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 1.611198E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 1.165036E-5 1.165036E-12 1.165036E+2 1.000000E-2 1.000000E+0
2.000000E-7 2.158999E-5 4.317999E-12 1.079500E+2 1.000000E-2 1.000000E+0
3.000000E-7 3.165010E-5 9.495030E-12 1.055003E+2 1.000000E-2 1.000000E+0
4.000000E-7 4.157732E-5 1.663093E-11 1.039433E+2 1.000000E-2 1.000000E+0
5.000000E-7 5.162941E-5 2.581471E-11 1.032588E+2 1.000000E-2 1.000000E+0
6.000000E-7 6.156439E-5 3.693863E-11 1.026073E+2 1.000000E-2 1.000000E+0
7.000000E-7 7.163250E-5 5.014275E-11 1.023321E+2 1.000000E-2 1.000000E+0
8.000000E-7 8.157368E-5 6.525895E-11 1.019671E+2 1.000000E-2 1.000000E+0
9.000000E-7 9.159811E-5 8.243830E-11 1.017757E+2 1.000000E-2 1.000000E+0
1.000000E-6 1.015595E-4 1.015595E-10 1.015595E+2 1.000000E-2 1.000000E+0
1.100000E-6 1.115865E-4 1.227451E-10 1.014422E+2 1.000000E-2 1.000000E+0
1.200000E-6 1.215628E-4 1.458754E-10 1.013023E+2 1.000000E-2 1.000000E+0
1.300000E-6 1.315927E-4 1.710705E-10 1.012251E+2 1.000000E-2 1.000000E+0
1.400000E-6 1.415238E-4 1.981333E-10 1.010884E+2 1.000000E-2 1.000000E+0
1.500000E-6 1.515645E-4 2.273467E-10 1.010430E+2 1.000000E-2 1.000000E+0
1.600000E-6 1.615576E-4 2.584922E-10 1.009735E+2 1.000000E-2 1.000000E+0
1.700000E-6 1.715735E-4 2.916750E-10 1.009256E+2 1.000000E-2 1.000000E+0
1.800000E-6 1.815473E-4 3.267851E-10 1.008596E+2 1.000000E-2 1.000000E+0
1.900000E-6 1.915600E-4 3.639641E-10 1.008211E+2 1.000000E-2 1.000000E+0
