GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.46  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 5.586949E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 5.630126E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 6.649013E-6 6.649013E-13 6.649013E+1 1.000000E-2 1.000000E+0
2.000000E-7 7.671002E-6 1.534200E-12 3.835501E+1 1.000000E-2 1.000000E+0
3.000000E-7 8.697386E-6 2.609216E-12 2.899129E+1 1.000000E-2 1.000000E+0
4.000000E-7 9.758672E-6 3.903469E-12 2.439668E+1 1.000000E-2 1.000000E+0
5.000000E-7 1.079281E-5 5.396406E-12 2.158562E+1 1.000000E-2 1.000000E+0
6.000000E-7 1.183548E-5 7.101290E-12 1.972581E+1 1.000000E-2 1.000000E+0
7.000000E-7 1.286497E-5 9.005479E-12 1.837853E+1 1.000000E-2 1.000000E+0
8.000000E-7 1.386886E-5 1.109509E-11 1.733608E+1 1.000000E-2 1.000000E+0
9.000000E-7 1.490042E-5 1.341037E-11 1.655602E+1 1.000000E-2 1.000000E+0
1.000000E-6 1.594645E-5 1.594645E-11 1.594645E+1 1.000000E-2 1.000000E+0
1.100000E-6 1.694336E-5 1.863770E-11 1.540305E+1 1.000000E-2 1.000000E+0
1.200000E-6 1.798991E-5 2.158789E-11 1.499159E+1 1.000000E-2 1.000000E+0
1.300000E-6 1.903620E-5 2.474706E-11 1.464323E+1 1.000000E-2 1.000000E+0
1.400000E-6 2.006931E-5 2.809703E-11 1.433522E+1 1.000000E-2 1.000000E+0
1.500000E-6 2.108949E-5 3.163423E-11 1.405966E+1 1.000000E-2 1.000000E+0
1.600000E-6 2.209183E-5 3.534692E-11 1.380739E+1 1.000000E-2 1.000000E+0
1.700000E-6 2.313786E-5 3.933436E-11 1.361051E+1 1.000000E-2 1.000000E+0
1.800000E-6 2.419320E-5 4.354776E-11 1.344067E+1 1.000000E-2 1.000000E+0
1.900000E-6 2.522734E-5 4.793194E-11 1.327755E+1 1.000000E-2 1.000000E+0
