GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.41  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 1.796825E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 1.783642E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 2.534944E-6 2.534944E-13 2.534944E+1 1.000000E-2 1.000000E+0
2.000000E-7 3.261428E-6 6.522855E-13 1.630714E+1 1.000000E-2 1.000000E+0
3.000000E-7 4.004199E-6 1.201260E-12 1.334733E+1 1.000000E-2 1.000000E+0
4.000000E-7 4.743867E-6 1.897547E-12 1.185967E+1 1.000000E-2 1.000000E+0
5.000000E-7 5.487414E-6 2.743707E-12 1.097483E+1 1.000000E-2 1.000000E+0
6.000000E-7 6.219844E-6 3.731906E-12 1.036641E+1 1.000000E-2 1.000000E+0
7.000000E-7 6.959771E-6 4.871840E-12 9.942530E+0 1.000000E-2 1.000000E+0
8.000000E-7 7.695044E-6 6.156036E-12 9.618806E+0 1.000000E-2 1.000000E+0
9.000000E-7 8.437557E-6 7.593801E-12 9.375063E+0 1.000000E-2 1.000000E+0
1.000000E-6 9.186533E-6 9.186533E-12 9.186533E+0 1.000000E-2 1.000000E+0
1.100000E-6 9.922840E-6 1.091512E-11 9.020764E+0 1.000000E-2 1.000000E+0
1.200000E-6 1.065165E-5 1.278198E-11 8.876375E+0 1.000000E-2 1.000000E+0
1.300000E-6 1.140037E-5 1.482048E-11 8.769514E+0 1.000000E-2 1.000000E+0
1.400000E-6 1.214831E-5 1.700763E-11 8.677364E+0 1.000000E-2 1.000000E+0
1.500000E-6 1.287686E-5 1.931529E-11 8.584574E+0 1.000000E-2 1.000000E+0
1.600000E-6 1.361110E-5 2.177776E-11 8.506938E+0 1.000000E-2 1.000000E+0
1.700000E-6 1.435827E-5 2.440905E-11 8.446039E+0 1.000000E-2 1.000000E+0
1.800000E-6 1.508759E-5 2.715767E-11 8.381997E+0 1.000000E-2 1.000000E+0
1.900000E-6 1.583011E-5 3.007720E-11 8.331635E+0 1.000000E-2 1.000000E+0
