GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.52  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

6.000000E-6 4.565184E-5 2.739110E-10 7.608639E+0 1.000000E-2 1.000000E+0
6.100000E-6 4.637599E-5 2.828936E-10 7.602622E+0 1.000000E-2 1.000000E+0
6.200000E-6 4.710894E-5 2.920754E-10 7.598216E+0 1.000000E-2 1.000000E+0
6.300000E-6 4.785740E-5 3.015016E-10 7.596412E+0 1.000000E-2 1.000000E+0
6.400000E-6 4.856656E-5 3.108260E-10 7.588525E+0 1.000000E-2 1.000000E+0
6.500000E-6 4.931217E-5 3.205291E-10 7.586488E+0 1.000000E-2 1.000000E+0
6.600000E-6 5.004615E-5 3.303046E-10 7.582750E+0 1.000000E-2 1.000000E+0
6.700000E-6 5.077108E-5 3.401663E-10 7.577774E+0 1.000000E-2 1.000000E+0
6.800000E-6 5.149834E-5 3.501887E-10 7.573286E+0 1.000000E-2 1.000000E+0
6.900000E-6 5.222612E-5 3.603602E-10 7.569003E+0 1.000000E-2 1.000000E+0
7.000000E-6 5.296605E-5 3.707623E-10 7.566578E+0 1.000000E-2 1.000000E+0
7.100000E-6 5.369227E-5 3.812151E-10 7.562292E+0 1.000000E-2 1.000000E+0
7.200000E-6 5.442237E-5 3.918411E-10 7.558663E+0 1.000000E-2 1.000000E+0
7.300000E-6 5.516644E-5 4.027150E-10 7.557046E+0 1.000000E-2 1.000000E+0
7.400000E-6 5.588801E-5 4.135712E-10 7.552433E+0 1.000000E-2 1.000000E+0
7.500000E-6 5.662276E-5 4.246707E-10 7.549702E+0 1.000000E-2 1.000000E+0
7.600000E-6 5.736140E-5 4.359466E-10 7.547552E+0 1.000000E-2 1.000000E+0
7.700000E-6 5.808607E-5 4.472627E-10 7.543645E+0 1.000000E-2 1.000000E+0
7.800000E-6 5.880480E-5 4.586774E-10 7.539076E+0 1.000000E-2 1.000000E+0
7.900000E-6 5.955093E-5 4.704523E-10 7.538092E+0 1.000000E-2 1.000000E+0
8.000000E-6 6.028000E-5 4.822400E-10 7.534999E+0 1.000000E-2 1.000000E+0
8.100000E-6 6.100881E-5 4.941713E-10 7.531951E+0 1.000000E-2 1.000000E+0
8.200000E-6 6.172934E-5 5.061806E-10 7.527969E+0 1.000000E-2 1.000000E+0
8.300000E-6 6.248142E-5 5.185958E-10 7.527882E+0 1.000000E-2 1.000000E+0
8.400000E-6 6.319498E-5 5.308378E-10 7.523211E+0 1.000000E-2 1.000000E+0
8.500000E-6 6.392327E-5 5.433478E-10 7.520385E+0 1.000000E-2 1.000000E+0
8.600000E-6 6.464536E-5 5.559501E-10 7.516902E+0 1.000000E-2 1.000000E+0
8.700000E-6 6.539950E-5 5.689757E-10 7.517184E+0 1.000000E-2 1.000000E+0
8.800000E-6 6.611254E-5 5.817904E-10 7.512789E+0 1.000000E-2 1.000000E+0
8.900000E-6 6.685480E-5 5.950077E-10 7.511775E+0 1.000000E-2 1.000000E+0
9.000000E-6 6.760403E-5 6.084363E-10 7.511559E+0 1.000000E-2 1.000000E+0
9.100000E-6 6.833439E-5 6.218429E-10 7.509274E+0 1.000000E-2 1.000000E+0
9.200000E-6 6.904200E-5 6.351864E-10 7.504565E+0 1.000000E-2 1.000000E+0
9.300000E-6 6.977779E-5 6.489334E-10 7.502988E+0 1.000000E-2 1.000000E+0
9.400000E-6 7.051151E-5 6.628082E-10 7.501225E+0 1.000000E-2 1.000000E+0
9.500000E-6 7.124110E-5 6.767904E-10 7.499063E+0 1.000000E-2 1.000000E+0
9.600000E-6 7.198180E-5 6.910253E-10 7.498104E+0 1.000000E-2 1.000000E+0
9.700000E-6 7.270957E-5 7.052829E-10 7.495832E+0 1.000000E-2 1.000000E+0
9.800000E-6 7.345467E-5 7.198558E-10 7.495375E+0 1.000000E-2 1.000000E+0
9.900000E-6 7.417366E-5 7.343192E-10 7.492289E+0 1.000000E-2 1.000000E+0
1.000000E-5 7.492031E-5 7.492031E-10 7.492031E+0 1.000000E-2 1.000000E+0
9.000000E-6 6.758748E-5 6.082873E-10 7.509720E+0 1.000000E-2 1.000000E+0
8.000000E-6 6.027250E-5 4.821800E-10 7.534062E+0 1.000000E-2 1.000000E+0
7.000000E-6 5.295545E-5 3.706881E-10 7.565064E+0 1.000000E-2 1.000000E+0
6.000000E-6 4.564925E-5 2.738955E-10 7.608208E+0 1.000000E-2 1.000000E+0
5.000000E-6 3.832289E-5 1.916145E-10 7.664578E+0 1.000000E-2 1.000000E+0
4.000000E-6 3.099213E-5 1.239685E-10 7.748034E+0 1.000000E-2 1.000000E+0
3.000000E-6 2.369757E-5 7.109272E-11 7.899191E+0 1.000000E-2 1.000000E+0
2.000000E-6 1.637250E-5 3.274501E-11 8.186253E+0 1.000000E-2 1.000000E+0
1.000000E-6 9.046402E-6 9.046402E-12 9.046402E+0 1.000000E-2 1.000000E+0
0.000000E+0 1.726504E-6 0.000000E+0 0.000000E+0 1.000000E-2 1.000000E+0
