GPIB0::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 26.53  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 5.680798E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+0
0.000000E+0 5.695019E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+0
1.000000E-7 6.702789E-6 6.702789E-13 6.702789E+1 1.000000E-2 1.000000E+0
2.000000E-7 7.707456E-6 1.541491E-12 3.853728E+1 1.000000E-2 1.000000E+0
3.000000E-7 8.745474E-6 2.623642E-12 2.915158E+1 1.000000E-2 1.000000E+0
4.000000E-7 9.755570E-6 3.902228E-12 2.438893E+1 1.000000E-2 1.000000E+0
5.000000E-7 1.075739E-5 5.378697E-12 2.151479E+1 1.000000E-2 1.000000E+0
6.000000E-7 1.177706E-5 7.066234E-12 1.962843E+1 1.000000E-2 1.000000E+0
7.000000E-7 1.276699E-5 8.936891E-12 1.823855E+1 1.000000E-2 1.000000E+0
8.000000E-7 1.379854E-5 1.103883E-11 1.724818E+1 1.000000E-2 1.000000E+0
9.000000E-7 1.480941E-5 1.332847E-11 1.645490E+1 1.000000E-2 1.000000E+0
1.000000E-6 1.584149E-5 1.584149E-11 1.584149E+1 1.000000E-2 1.000000E+0
1.100000E-6 1.681435E-5 1.849579E-11 1.528578E+1 1.000000E-2 1.000000E+0
1.200000E-6 1.781618E-5 2.137941E-11 1.484681E+1 1.000000E-2 1.000000E+0
1.300000E-6 1.887126E-5 2.453263E-11 1.451635E+1 1.000000E-2 1.000000E+0
1.400000E-6 1.989764E-5 2.785670E-11 1.421260E+1 1.000000E-2 1.000000E+0
1.500000E-6 2.088912E-5 3.133369E-11 1.392608E+1 1.000000E-2 1.000000E+0
1.600000E-6 2.189741E-5 3.503586E-11 1.368588E+1 1.000000E-2 1.000000E+0
1.700000E-6 2.292198E-5 3.896737E-11 1.348352E+1 1.000000E-2 1.000000E+0
1.800000E-6 2.392122E-5 4.305820E-11 1.328957E+1 1.000000E-2 1.000000E+0
1.900000E-6 2.492175E-5 4.735133E-11 1.311671E+1 1.000000E-2 1.000000E+0
