,pe-1-4-0,pe-1-2-2,pe-1-1-3,pe-1-3-1,pe-1-0-4,Time,AF
118,100,254,274,151,261,2.8836754643206257,308
119,85,254,242,149,261,2.90811339198436,240
120,96,268,240,137,262,2.932551319648094,238
121,73,265,230,121,237,2.956989247311828,190
122,64,227,224,122,263,2.981427174975562,150
123,78,245,249,123,238,3.005865102639296,129
124,61,236,227,127,269,3.0303030303030303,122
125,61,237,234,115,247,3.0547409579667644,108
126,64,202,238,121,250,3.0791788856304985,118
127,62,210,217,103,221,3.1036168132942326,82
128,46,220,201,98,201,3.1280547409579667,92
129,51,220,216,108,208,3.1524926686217007,73
130,45,196,215,100,211,3.176930596285435,77
131,44,245,225,99,199,3.201368523949169,90
132,54,210,212,108,214,3.225806451612903,71
133,52,201,213,89,220,3.250244379276637,71
134,55,216,197,113,245,3.274682306940371,64
135,48,214,179,92,200,3.2991202346041053,62
136,49,216,186,110,211,3.3235581622678394,68
137,39,171,191,95,194,3.3479960899315735,84
138,48,194,186,98,192,3.3724340175953076,91
139,52,206,196,130,183,3.396871945259042,87
140,55,192,173,112,202,3.421309872922776,81
141,67,177,205,97,227,3.4457478005865103,105
142,56,194,208,96,194,3.4701857282502444,109
143,67,193,202,98,192,3.4946236559139785,90
144,59,187,204,95,172,3.5190615835777126,124
145,68,197,187,109,196,3.5434995112414467,109
146,64,179,198,98,192,3.567937438905181,127
147,54,194,196,115,184,3.592375366568915,130
148,70,192,192,97,191,3.616813294232649,126
149,83,202,197,96,201,3.641251221896383,112
150,65,194,189,96,203,3.665689149560117,104
151,69,166,199,97,178,3.6901270772238512,108
152,64,201,192,89,205,3.7145650048875853,100
153,45,182,182,80,222,3.7390029325513194,91
154,33,184,163,95,186,3.7634408602150535,74
155,41,189,184,86,207,3.7878787878787876,56
156,33,145,161,80,195,3.8123167155425217,48
157,40,166,160,91,199,3.836754643206256,49
158,38,184,166,85,164,3.86119257086999,55
159,29,157,157,75,184,3.885630498533724,40
160,37,161,181,79,170,3.9100684261974585,52
161,46,139,202,83,198,3.9345063538611926,37
162,40,143,203,77,193,3.9589442815249267,51
163,28,173,167,79,190,3.983382209188661,40
164,31,156,142,68,188,4.007820136852395,41
165,35,164,172,75,179,4.032258064516129,27
166,24,151,158,73,190,4.056695992179863,36
167,22,135,166,93,188,4.081133919843597,30
168,31,161,154,74,168,4.105571847507331,29
169,31,153,152,68,165,4.130009775171065,22
170,23,150,166,65,161,4.1544477028347995,24
171,13,152,139,66,190,4.178885630498534,29
172,26,154,128,59,180,4.203323558162268,19
173,16,133,134,77,181,4.227761485826002,24
174,26,172,146,78,182,4.252199413489736,24
175,16,123,176,64,183,4.27663734115347,16
176,21,149,164,57,162,4.301075268817204,24
177,27,160,153,58,164,4.325513196480938,30
178,22,154,136,55,164,4.349951124144672,19
179,22,138,148,63,157,4.374389051808406,23
180,26,151,128,65,191,4.39882697947214,14
181,24,149,163,55,162,4.4232649071358745,22
182,22,121,128,64,160,4.447702834799609,21
183,27,164,173,72,168,4.472140762463343,20
184,16,140,161,59,166,4.496578690127077,18
185,21,151,134,66,164,4.521016617790811,21
186,21,123,127,60,155,4.545454545454545,19
187,16,139,153,69,156,4.569892473118279,26
188,21,128,128,71,176,4.594330400782013,22
