7,4,1,Time
11,9,5,0.0
7,6,9,0.024437927663734114
7,6,10,0.04887585532746823
10,7,7,0.07331378299120234
8,3,8,0.09775171065493646
5,5,7,0.12218963831867058
10,4,7,0.14662756598240467
7,11,10,0.1710654936461388
9,4,8,0.19550342130987292
12,7,10,0.21994134897360704
2,2,14,0.24437927663734116
3,8,8,0.26881720430107525
13,7,10,0.29325513196480935
9,1,4,0.3176930596285435
11,8,9,0.3421309872922776
11,7,14,0.36656891495601174
3,10,5,0.39100684261974583
13,7,7,0.4154447702834799
11,10,10,0.4398826979472141
8,6,13,0.46432062561094817
13,4,6,0.4887585532746823
10,6,7,0.5131964809384164
9,12,11,0.5376344086021505
11,6,15,0.5620723362658846
8,8,4,0.5865102639296187
10,10,6,0.6109481915933529
9,11,7,0.635386119257087
8,8,14,0.6598240469208211
9,8,7,0.6842619745845552
11,12,10,0.7086999022482893
12,10,17,0.7331378299120235
15,7,7,0.7575757575757576
7,7,10,0.7820136852394917
16,11,13,0.8064516129032258
13,5,11,0.8308895405669598
6,8,12,0.855327468230694
12,9,9,0.8797653958944281
17,7,9,0.9042033235581622
12,10,9,0.9286412512218963
13,8,14,0.9530791788856304
12,11,12,0.9775171065493646
7,14,10,1.0019550342130987
8,6,11,1.0263929618768328
14,2,7,1.050830889540567
10,8,11,1.075268817204301
14,9,13,1.099706744868035
5,11,10,1.1241446725317692
11,11,9,1.1485826001955033
13,10,15,1.1730205278592374
11,8,15,1.1974584555229717
11,6,7,1.2218963831867058
15,9,8,1.2463343108504399
16,9,6,1.270772238514174
14,7,11,1.295210166177908
12,6,7,1.3196480938416422
10,6,2,1.3440860215053763
10,7,8,1.3685239491691104
9,15,14,1.3929618768328444
13,7,16,1.4173998044965785
15,10,8,1.4418377321603129
15,6,11,1.466275659824047
15,5,10,1.490713587487781
10,7,12,1.5151515151515151
12,15,11,1.5395894428152492
22,8,6,1.5640273704789833
15,8,6,1.5884652981427174
6,4,8,1.6129032258064515
8,8,5,1.6373411534701856
11,7,7,1.6617790811339197
15,8,12,1.6862170087976538
12,8,15,1.710654936461388
14,12,15,1.7350928641251222
14,6,7,1.7595307917888563
21,6,15,1.7839687194525904
22,5,13,1.8084066471163245
25,8,16,1.8328445747800586
46,11,19,1.8572825024437927
43,17,24,1.8817204301075268
81,12,24,1.9061583577712609
95,31,32,1.930596285434995
127,17,54,1.9550342130987293
142,20,76,1.9794721407624634
214,26,82,2.0039100684261975
298,27,134,2.0283479960899315
447,35,169,2.0527859237536656
588,49,251,2.0772238514173997
778,46,315,2.101661779081134
1055,56,507,2.126099706744868
1362,67,637,2.150537634408602
1701,93,955,2.174975562072336
2325,94,1202,2.19941348973607
3160,151,1566,2.2238514173998043
4725,165,1932,2.2482893450635384
7328,223,2565,2.2727272727272725
11318,301,3515,2.2971652003910066
17019,401,5003,2.3216031280547407
24562,672,7923,2.3460410557184748
32331,997,12489,2.3704789833822093
40017,1429,19144,2.3949169110459434
46499,2047,27923,2.4193548387096775
49912,2762,38337,2.4437927663734116
49907,3263,48954,2.4682306940371457
47224,3588,58005,2.4926686217008798
42048,3797,63753,2.517106549364614
35323,3634,65318,2.541544477028348
28881,3253,62129,2.565982404692082
22790,2793,55737,2.590420332355816
17311,2293,47261,2.6148582600195502
12900,1805,38357,2.6392961876832843
9767,1404,30105,2.6637341153470184
7477,1060,23400,2.6881720430107525
5914,825,17469,2.7126099706744866
4466,613,13104,2.7370478983382207
3621,487,10051,2.761485826001955
2960,370,7653,2.785923753665689
2285,322,6038,2.810361681329423
1997,264,4853,2.834799608993157
1592,240,3880,2.859237536656891
1408,177,3063,2.8836754643206257
1158,120,2639,2.90811339198436
1053,132,2109,2.932551319648094
966,118,1797,2.956989247311828
833,92,1539,2.981427174975562
822,87,1420,3.005865102639296
716,71,1260,3.0303030303030303
701,79,1135,3.0547409579667644
593,69,1029,3.0791788856304985
586,58,933,3.1036168132942326
593,69,895,3.1280547409579667
579,69,815,3.1524926686217007
514,66,766,3.176930596285435
509,54,706,3.201368523949169
551,55,671,3.225806451612903
553,46,672,3.250244379276637
536,38,660,3.274682306940371
550,47,634,3.2991202346041053
571,47,669,3.3235581622678394
630,48,664,3.3479960899315735
695,56,664,3.3724340175953076
766,62,771,3.396871945259042
809,66,796,3.421309872922776
805,57,880,3.4457478005865103
872,72,886,3.4701857282502444
843,70,1006,3.4946236559139785
826,91,1085,3.5190615835777126
766,67,1041,3.5434995112414467
752,85,1064,3.567937438905181
654,66,1082,3.592375366568915
571,84,1070,3.616813294232649
490,69,943,3.641251221896383
434,53,849,3.665689149560117
332,69,784,3.6901270772238512
328,54,679,3.7145650048875853
317,39,563,3.7390029325513194
270,42,482,3.7634408602150535
233,31,454,3.7878787878787876
268,23,415,3.8123167155425217
238,24,360,3.836754643206256
235,31,311,3.86119257086999
231,21,324,3.885630498533724
229,24,327,3.9100684261974585
217,16,287,3.9345063538611926
202,23,279,3.9589442815249267
215,26,294,3.983382209188661
193,29,281,4.007820136852395
168,18,331,4.032258064516129
137,22,249,4.056695992179863
156,16,220,4.081133919843597
128,16,207,4.105571847507331
98,18,170,4.130009775171065
104,25,175,4.1544477028347995
107,21,159,4.178885630498534
115,10,179,4.203323558162268
114,18,133,4.227761485826002
81,20,129,4.252199413489736
97,20,119,4.27663734115347
102,11,108,4.301075268817204
95,11,132,4.325513196480938
99,14,97,4.349951124144672
88,7,121,4.374389051808406
83,16,109,4.39882697947214
85,7,96,4.4232649071358745
74,17,89,4.447702834799609
79,15,111,4.472140762463343
