,pe-1-0-4_0Grad,1-4-0_mit triton,Time,AF
155,207,190,3.7878787878787876,56
156,195,182,3.8123167155425217,48
157,199,185,3.836754643206256,49
158,164,164,3.86119257086999,55
159,184,203,3.885630498533724,40
160,170,197,3.9100684261974585,52
161,198,165,3.9345063538611926,37
162,193,197,3.9589442815249267,51
163,190,163,3.983382209188661,40
164,188,211,4.007820136852395,41
165,179,153,4.032258064516129,27
166,190,152,4.056695992179863,36
167,188,153,4.081133919843597,30
168,168,170,4.105571847507331,29
169,165,168,4.130009775171065,22
170,161,161,4.1544477028347995,24
171,190,164,4.178885630498534,29
172,180,169,4.203323558162268,19
173,181,157,4.227761485826002,24
174,182,167,4.252199413489736,24
175,183,158,4.27663734115347,16
176,162,161,4.301075268817204,24
177,164,157,4.325513196480938,30
178,164,145,4.349951124144672,19
179,157,162,4.374389051808406,23
180,191,164,4.39882697947214,14
181,162,159,4.4232649071358745,22
182,160,145,4.447702834799609,21
183,168,165,4.472140762463343,20
184,166,155,4.496578690127077,18
185,164,132,4.521016617790811,21
186,155,148,4.545454545454545,19
187,156,155,4.569892473118279,26
188,176,139,4.594330400782013,22
189,157,162,4.618768328445747,8
190,152,151,4.643206256109481,15
191,167,131,4.667644183773215,16
192,148,141,4.6920821114369495,20
193,160,146,4.7165200391006845,17
194,151,177,4.740957966764419,17
195,156,142,4.765395894428153,23
196,172,155,4.789833822091887,19
197,154,139,4.814271749755621,14
198,158,132,4.838709677419355,19
199,162,141,4.863147605083089,13
200,157,140,4.887585532746823,15
201,136,145,4.912023460410557,15
202,163,132,4.936461388074291,16
203,146,160,4.9608993157380255,13
204,131,117,4.9853372434017595,19
205,162,133,5.009775171065494,10
206,155,116,5.034213098729228,7
207,163,143,5.058651026392962,19
208,161,137,5.083088954056696,10
209,136,130,5.10752688172043,11
210,120,152,5.131964809384164,17
211,153,135,5.156402737047898,15
212,129,105,5.180840664711632,15
213,145,124,5.205278592375366,11
214,147,127,5.2297165200391005,11
215,148,134,5.254154447702835,11
216,131,120,5.278592375366569,15
217,146,142,5.303030303030303,16
218,137,129,5.327468230694037,17
219,144,113,5.351906158357771,17
220,133,113,5.376344086021505,13
221,136,102,5.400782013685239,13
222,159,109,5.425219941348973,17
223,140,121,5.449657869012707,18
224,122,117,5.474095796676441,15
225,155,105,5.4985337243401755,12
226,132,119,5.52297165200391,10
227,135,106,5.547409579667644,14
228,130,112,5.571847507331378,13
229,142,110,5.596285434995112,13
230,136,128,5.620723362658846,23
231,123,94,5.64516129032258,7
232,130,103,5.669599217986314,9
233,135,131,5.694037145650048,19
234,135,125,5.718475073313782,11
235,141,130,5.742913000977517,5
236,141,103,5.767350928641251,12
237,144,109,5.7917888563049855,10
238,154,116,5.81622678396872,17
239,135,99,5.840664711632454,9
240,138,113,5.865102639296188,14
241,135,109,5.889540566959922,14
242,131,113,5.913978494623656,8
243,120,103,5.93841642228739,8
244,119,110,5.962854349951124,9
245,147,110,5.987292277614858,9
246,116,120,6.011730205278592,11
247,115,107,6.0361681329423265,11
248,129,95,6.0606060606060606,13
249,139,104,6.085043988269795,5
250,123,101,6.109481915933529,16
251,99,114,6.133919843597263,15
252,98,93,6.158357771260997,16
253,119,102,6.182795698924731,4
254,120,101,6.207233626588465,10
255,130,104,6.231671554252199,3
256,147,119,6.256109481915933,11
257,124,101,6.280547409579667,19
258,126,104,6.3049853372434015,11
259,136,88,6.329423264907136,9
260,115,113,6.35386119257087,10
261,120,101,6.378299120234604,8
262,126,111,6.402737047898338,17
263,121,113,6.427174975562072,8
264,113,99,6.451612903225806,7
265,116,123,6.47605083088954,10
266,117,95,6.500488758553274,8
267,102,100,6.524926686217008,10
268,93,91,6.549364613880742,10
269,135,96,6.5738025415444765,14
270,95,84,6.598240469208211,12
271,110,101,6.622678396871945,15
272,116,91,6.647116324535679,9
273,110,91,6.671554252199413,15
274,122,92,6.695992179863147,8
275,111,78,6.720430107526881,11
276,102,117,6.744868035190615,8
277,115,99,6.769305962854349,15
278,118,106,6.793743890518084,8
279,110,78,6.818181818181818,9
280,114,70,6.842619745845552,11
281,106,98,6.8670576735092865,12
282,117,82,6.891495601173021,12
283,117,96,6.915933528836755,7
284,99,93,6.940371456500489,13
285,106,100,6.964809384164223,9
286,97,86,6.989247311827957,7
287,101,76,7.013685239491691,14
288,126,89,7.038123167155425,5
289,121,100,7.062561094819159,11
290,95,86,7.086999022482893,16
291,105,86,7.1114369501466275,9
292,118,82,7.135874877810362,10
293,139,80,7.160312805474096,11
294,107,71,7.18475073313783,14
295,108,82,7.209188660801564,4
296,80,99,7.233626588465298,5
297,103,97,7.258064516129032,14
298,94,97,7.282502443792766,13
299,98,94,7.3069403714565,7
300,88,66,7.331378299120234,9
301,109,83,7.355816226783968,6
302,95,83,7.3802541544477025,10
303,107,92,7.404692082111437,9
304,112,94,7.429130009775171,9
305,84,93,7.453567937438905,5
306,108,79,7.478005865102639,4
307,120,68,7.502443792766373,9
308,98,87,7.526881720430107,8
309,96,89,7.551319648093841,13
310,101,82,7.575757575757575,12
311,107,74,7.600195503421309,12
312,91,95,7.624633431085043,11
313,95,81,7.6490713587487775,8
314,88,72,7.673509286412512,13
315,91,69,7.697947214076246,7
316,75,87,7.72238514173998,11
317,88,73,7.746823069403714,11
318,89,78,7.771260997067448,7
319,77,72,7.795698924731182,8
320,97,72,7.820136852394917,4
321,96,67,7.844574780058651,8
322,89,81,7.869012707722385,10
323,96,80,7.893450635386119,4
324,91,68,7.9178885630498534,7
325,83,74,7.9423264907135875,10
326,94,68,7.966764418377322,11
327,95,64,7.991202346041056,11
328,88,89,8.01564027370479,16
329,87,68,8.040078201368523,7
330,94,66,8.064516129032258,8
331,106,66,8.088954056695991,7
332,73,68,8.113391984359726,16
333,78,70,8.13782991202346,6
334,86,73,8.162267839687194,10
335,102,62,8.186705767350928,9
336,89,78,8.211143695014663,9
337,92,76,8.235581622678396,7
338,92,89,8.26001955034213,9
339,84,70,8.284457478005864,12
340,80,68,8.308895405669599,5
341,80,80,8.333333333333332,12
342,96,71,8.357771260997067,1
343,80,60,8.382209188660802,4
344,84,62,8.406647116324535,10
345,89,62,8.43108504398827,8
346,81,68,8.455522971652004,7
347,76,66,8.479960899315738,5
348,74,71,8.504398826979472,8
349,87,65,8.528836754643207,8
350,85,68,8.55327468230694,6
351,73,63,8.577712609970675,9
352,82,77,8.602150537634408,10
353,80,62,8.626588465298143,13
354,97,67,8.651026392961876,4
355,84,69,8.675464320625611,6
356,96,48,8.699902248289344,9
357,68,55,8.72434017595308,4
358,72,48,8.748778103616813,11
359,92,50,8.773216031280548,9
360,75,68,8.79765395894428,10
361,92,76,8.822091886608016,7
362,72,60,8.846529814271749,12
363,81,50,8.870967741935484,5
364,72,67,8.895405669599217,8
365,79,51,8.919843597262952,8
366,70,62,8.944281524926685,8
367,95,69,8.96871945259042,4
368,96,64,8.993157380254154,15
369,96,62,9.017595307917889,12
370,67,52,9.042033235581622,9
371,75,62,9.066471163245357,8
372,75,53,9.09090909090909,8
373,72,70,9.115347018572825,8
374,92,66,9.139784946236558,14
375,63,61,9.164222873900293,7
376,86,62,9.188660801564026,8
377,79,71,9.213098729227761,10
378,88,71,9.237536656891495,5
379,74,51,9.26197458455523,12
380,72,61,9.286412512218963,7
381,74,63,9.310850439882698,16
382,51,54,9.33528836754643,9
383,81,57,9.359726295210166,12
384,79,47,9.384164222873899,4
385,77,64,9.408602150537634,7
386,68,56,9.433040078201369,13
387,67,65,9.457478005865102,9
388,84,39,9.481915933528837,10
389,78,52,9.50635386119257,6
390,69,53,9.530791788856305,9
391,78,54,9.555229716520039,9
392,58,55,9.579667644183774,10
393,65,57,9.604105571847507,13
394,84,53,9.628543499511242,14
395,63,42,9.652981427174975,7
396,86,44,9.67741935483871,8
397,64,59,9.701857282502443,6
398,71,59,9.726295210166178,11
399,75,55,9.750733137829911,5
400,71,47,9.775171065493646,8
