3,7,0,45,4,Time
14,6,6,7,5,0.0
6,3,6,4,6,0.024437927663734114
6,6,6,9,5,0.04887585532746823
7,8,2,5,2,0.07331378299120234
6,10,6,7,2,0.09775171065493646
7,12,9,6,7,0.12218963831867058
11,8,4,8,6,0.14662756598240467
2,9,6,3,7,0.1710654936461388
4,4,9,6,8,0.19550342130987292
4,7,6,5,1,0.21994134897360704
10,15,7,5,5,0.24437927663734116
6,6,6,7,6,0.26881720430107525
9,4,4,3,4,0.29325513196480935
10,5,5,7,3,0.3176930596285435
7,9,9,7,10,0.3421309872922776
10,6,8,5,4,0.36656891495601174
9,9,3,6,9,0.39100684261974583
17,8,9,3,11,0.4154447702834799
10,6,6,11,4,0.4398826979472141
11,9,4,10,4,0.46432062561094817
5,8,8,7,10,0.4887585532746823
8,8,7,11,7,0.5131964809384164
13,8,5,5,6,0.5376344086021505
8,16,5,8,6,0.5620723362658846
11,8,9,3,10,0.5865102639296187
11,9,6,4,5,0.6109481915933529
7,5,7,7,4,0.635386119257087
14,6,5,10,6,0.6598240469208211
8,5,8,4,8,0.6842619745845552
14,6,9,5,7,0.7086999022482893
7,10,9,10,9,0.7331378299120235
4,12,6,7,7,0.7575757575757576
9,11,10,10,7,0.7820136852394917
16,12,4,8,6,0.8064516129032258
8,7,6,1,6,0.8308895405669598
8,7,8,5,8,0.855327468230694
4,10,1,2,6,0.8797653958944281
13,8,9,10,1,0.9042033235581622
12,10,7,9,9,0.9286412512218963
9,9,7,13,8,0.9530791788856304
9,8,8,8,7,0.9775171065493646
15,9,7,8,7,1.0019550342130987
8,15,7,7,5,1.0263929618768328
11,7,6,9,10,1.050830889540567
8,8,12,8,5,1.075268817204301
11,13,6,8,6,1.099706744868035
11,9,11,8,4,1.1241446725317692
9,8,9,14,5,1.1485826001955033
15,8,5,5,15,1.1730205278592374
10,8,11,6,10,1.1974584555229717
10,7,6,8,8,1.2218963831867058
2,7,5,6,5,1.2463343108504399
12,9,7,11,7,1.270772238514174
11,15,7,7,3,1.295210166177908
11,14,14,6,16,1.3196480938416422
18,13,9,6,11,1.3440860215053763
12,9,9,10,6,1.3685239491691104
16,13,8,7,5,1.3929618768328444
12,7,8,15,5,1.4173998044965785
12,14,10,3,4,1.4418377321603129
7,9,7,10,8,1.466275659824047
8,19,7,16,6,1.490713587487781
11,13,8,6,9,1.5151515151515151
8,10,6,7,7,1.5395894428152492
12,5,10,5,8,1.5640273704789833
13,11,10,5,9,1.5884652981427174
6,10,6,13,4,1.6129032258064515
8,9,7,5,9,1.6373411534701856
17,12,8,3,4,1.6617790811339197
11,14,7,6,8,1.6862170087976538
11,8,14,1,6,1.710654936461388
8,6,7,8,8,1.7350928641251222
7,6,8,13,12,1.7595307917888563
9,8,9,10,8,1.7839687194525904
6,15,5,12,9,1.8084066471163245
12,10,8,9,5,1.8328445747800586
17,13,6,11,11,1.8572825024437927
23,13,7,8,10,1.8817204301075268
19,20,5,16,12,1.9061583577712609
22,26,14,20,14,1.930596285434995
48,27,12,20,15,1.9550342130987293
40,36,16,17,8,1.9794721407624634
55,41,18,21,18,2.0039100684261975
59,45,21,25,26,2.0283479960899315
79,61,17,36,20,2.0527859237536656
114,87,18,45,29,2.0772238514173997
168,90,26,42,36,2.101661779081134
172,130,25,58,39,2.126099706744868
292,156,25,91,37,2.150537634408602
342,211,23,104,37,2.174975562072336
436,315,34,122,51,2.19941348973607
621,441,33,143,59,2.2238514173998043
776,540,39,229,73,2.2482893450635384
1059,723,52,293,78,2.2727272727272725
1771,1069,47,541,112,2.2971652003910066
2779,1663,67,839,180,2.3216031280547407
4485,2773,79,1303,238,2.3460410557184748
7579,4655,126,2057,428,2.3704789833822093
12504,7782,168,2979,639,2.3949169110459434
18761,12366,276,4297,1021,2.4193548387096775
27658,18630,372,5549,1516,2.4437927663734116
36856,26165,502,6673,2003,2.4682306940371457
46041,34344,648,7498,2507,2.4926686217008798
53562,41625,675,8058,2925,2.517106549364614
56760,45711,719,7771,3198,2.541544477028348
55169,46923,736,7238,3110,2.565982404692082
51630,45461,700,6200,2971,2.590420332355816
44234,40015,563,5049,2543,2.6148582600195502
36510,33859,480,3875,2117,2.6392961876832843
28896,27108,420,2941,1651,2.6637341153470184
21825,20995,274,2329,1321,2.6881720430107525
16094,15806,227,1643,904,2.7126099706744866
12171,11412,174,1188,734,2.7370478983382207
9019,8674,154,870,535,2.761485826001955
6796,6364,115,702,416,2.785923753665689
5082,4778,80,507,316,2.810361681329423
3932,3637,72,425,226,2.834799608993157
3075,2771,54,337,186,2.859237536656891
2539,2222,43,258,165,2.8836754643206257
1986,1812,35,231,120,2.90811339198436
1673,1436,46,169,113,2.932551319648094
1436,1202,40,165,88,2.956989247311828
1203,1062,34,166,81,2.981427174975562
1020,819,32,140,67,3.005865102639296
