10,45,20,5,50,35,15,25,30,40,Time
82,5,25,3600,2,13,26,21,21,10,0.0
95,4,23,3652,2,18,20,31,14,4,0.024437927663734114
103,7,29,3614,3,13,24,27,20,7,0.04887585532746823
108,7,25,3542,3,7,31,24,13,7,0.07331378299120234
104,8,30,3511,4,11,28,29,15,6,0.09775171065493646
116,3,24,3405,2,19,36,24,20,5,0.12218963831867058
123,11,22,3374,5,18,29,16,13,3,0.14662756598240467
134,6,27,3193,6,20,28,19,20,5,0.1710654936461388
127,6,25,3309,6,11,36,29,8,12,0.19550342130987292
125,8,33,3127,3,14,32,21,29,4,0.21994134897360704
118,5,33,3056,7,10,30,34,25,1,0.24437927663734116
114,8,25,2968,6,13,30,24,23,8,0.26881720430107525
93,7,28,2863,2,21,34,22,12,1,0.29325513196480935
100,6,32,2855,4,10,31,14,15,6,0.3176930596285435
118,9,24,2730,7,15,33,21,21,8,0.3421309872922776
97,6,32,2762,5,15,37,25,20,7,0.36656891495601174
75,11,36,2680,7,19,39,19,11,4,0.39100684261974583
70,6,27,2551,2,17,40,15,21,3,0.4154447702834799
76,7,38,2596,3,10,37,34,23,6,0.4398826979472141
67,5,32,2463,1,14,42,22,19,6,0.46432062561094817
90,9,29,2414,5,9,40,33,20,7,0.4887585532746823
72,16,32,2395,3,10,31,27,18,7,0.5131964809384164
90,3,35,2408,4,10,42,30,35,5,0.5376344086021505
68,7,33,2291,9,14,43,11,17,10,0.5620723362658846
56,4,29,2302,4,10,33,32,24,7,0.5865102639296187
70,7,22,2215,6,18,40,26,16,11,0.6109481915933529
61,7,29,2193,1,16,29,22,21,7,0.635386119257087
81,8,41,2203,4,15,40,33,11,6,0.6598240469208211
71,10,26,2043,9,31,36,19,25,7,0.6842619745845552
79,7,31,2090,7,9,36,23,20,12,0.7086999022482893
79,4,44,2002,2,18,43,32,20,7,0.7331378299120235
73,13,24,1976,4,23,40,31,25,5,0.7575757575757576
73,10,43,1958,5,15,35,25,27,7,0.7820136852394917
65,10,44,1915,6,17,37,25,27,7,0.8064516129032258
79,5,21,1885,0,20,43,26,20,13,0.8308895405669598
63,11,26,1826,4,14,45,35,20,5,0.855327468230694
71,9,35,1781,5,20,50,27,22,7,0.8797653958944281
64,9,52,1734,6,16,45,26,37,11,0.9042033235581622
72,11,31,1714,4,16,41,26,23,9,0.9286412512218963
66,6,37,1626,3,23,33,31,20,9,0.9530791788856304
66,7,35,1634,14,18,40,28,19,13,0.9775171065493646
71,8,27,1543,7,16,42,21,24,7,1.0019550342130987
65,7,27,1526,4,26,42,27,20,6,1.0263929618768328
60,9,28,1491,7,21,51,34,26,11,1.050830889540567
82,13,33,1625,5,15,41,28,23,14,1.075268817204301
51,11,39,1472,5,14,50,31,22,10,1.099706744868035
66,6,42,1485,8,19,38,27,19,7,1.1241446725317692
58,7,40,1333,6,19,42,31,14,9,1.1485826001955033
56,12,29,1343,9,17,43,29,34,12,1.1730205278592374
69,8,36,1348,5,20,42,33,23,9,1.1974584555229717
49,8,41,1402,6,19,54,40,28,13,1.2218963831867058
69,10,40,1325,5,22,52,33,23,4,1.2463343108504399
52,9,40,1317,3,22,47,28,25,7,1.270772238514174
54,9,46,1325,3,18,48,37,19,14,1.295210166177908
48,5,48,1257,7,10,48,33,25,10,1.3196480938416422
52,12,41,1191,3,20,43,36,26,9,1.3440860215053763
55,10,33,1254,6,17,47,33,24,13,1.3685239491691104
59,7,51,1233,7,9,36,31,24,13,1.3929618768328444
68,5,39,1232,8,17,53,27,28,10,1.4173998044965785
61,15,39,1248,1,19,36,38,26,10,1.4418377321603129
53,7,41,1214,10,21,54,27,33,9,1.466275659824047
55,5,45,1176,7,16,38,41,27,11,1.490713587487781
54,17,39,1190,7,19,49,42,28,17,1.5151515151515151
51,10,45,1189,6,19,49,30,33,4,1.5395894428152492
