  Title : cfdschwell_5mv				
  Version : 1 725				
  Revision : 10 bits ADC				
  Date : 09-07-2023				
  Time : 11:11:04				
  Author : Unknown				
  Company : Unknown				
  Contents :				
  				
*BLOCK 1	lfd		Maximum	37180
3600	1		meanNoise	1934,220566
3652	2		SNR	19,22221315
3614	3		SNR_2	18,22221315
3542	4			
3511	5			
3405	6			
3374	7			
3193	8			
3309	9			
3127	10			
3056	11			
2968	12			
2863	13			
2855	14			
2730	15			
2762	16			
2680	17			
2551	18			
2596	19			
2463	20			
2414	21			
2395	22			
2408	23			
2291	24			
2302	25			
2215	26			
2193	27			
2203	28			
2043	29			
2090	30			
2002	31			
1976	32			
1958	33			
1915	34			
1885	35			
1826	36			
1781	37			
1734	38			
1714	39			
1626	40			
1634	41			
1543	42			
1526	43			
1491	44			
1625	45			
1472	46			
1485	47			
1333	48			
1343	49			
1348	50			
1402	51			
1325	52			
1317	53			
1325	54			
1257	55			
1191	56			
1254	57			
1233	58			
1232	59			
1248	60			
1214	61			
1176	62			
1190	63			
1189	64			
1054	65			
830	66			
847	67			
850	68			
824	69			
849	70			
817	71			
818	72			
844	73			
793	74			
852	75			
765	76			
848	77			
814	78			
852	79			
865	80			
916	81			
965	82			
950	83			
1009	84			
1038	85			
1101	86			
1169	87			
1301	88			
1437	89			
1557	90			
1740	91			
1980	92			
2308	93			
2671	94			
3204	95			
3660	96			
4755	97			
6043	98			
7831	99			
10185	100			
13900	101			
18066	102			
22894	103			
27677	104			
31899	105			
34754	106			
36163	107			
35315	108			
33091	109			
29457	110			
25295	111			
21031	112			
17394	113			
14155	114			
11599	115			
9339	116			
7642	117			
6634	118			
5523	119			
4794	120			
4150	121			
3698	122			
3258	123			
3008	124			
2806	125			
2508	126			
2304	127			
2235	128			
2053	129			
2009	130			
1930	131			
1901	132			
1863	133			
1782	134			
1779	135			
1733	136			
1694	137			
1694	138			
1740	139			
1690	140			
1617	141			
1754	142			
1693	143			
1724	144			
1829	145			
1905	146			
1989	147			
1867	148			
1929	149			
1962	150			
1966	151			
1916	152			
1957	153			
1917	154			
1843	155			
1860	156			
1867	157			
1793	158			
1777	159			
1743	160			
1704	161			
1717	162			
1742	163			
1682	164			
1744	165			
1729	166			
1792	167			
1783	168			
1699	169			
1807	170			
1779	171			
1744	172			
1798	173			
1872	174			
1882	175			
1843	176			
1887	177			
1973	178			
1979	179			
1843	180			
1835	181			
1974	182			
2002	183			
2037	184			
2072	185			
2009	186			
2007	187			
2046	188			
2056	189			
2083	190			
2005	191			
2078	192			
1968	193			
2184	194			
2096	195			
2275	196			
2168	197			
2160	198			
2164	199			
2169	200			
2249	201			
2162	202			
2317	203			
2277	204			
2176	205			
2225	206			
2358	207			
2285	208			
2308	209			
2231	210			
2174	211			
2216	212			
2357	213			
2299	214			
2248	215			
2171	216			
2319	217			
2229	218			
2300	219			
2146	220			
2212	221			
2200	222			
2345	223			
2268	224			
2275	225			
2189	226			
2255	227			
2261	228			
2159	229			
2187	230			
2161	231			
2140	232			
2198	233			
2082	234			
2140	235			
2105	236			
2205	237			
2113	238			
2133	239			
2179	240			
2020	241			
2077	242			
2084	243			
2095	244			
2167	245			
2054	246			
1994	247			
1978	248			
2009	249			
1982	250			
2023	251			
1987	252			
1983	253			
1964	254			
1908	255			
1972	256			
1917	257			
1978	258			
1914	259			
1915	260			
1860	261			
1791	262			
1847	263			
1818	264			
1785	265			
1781	266			
1780	267			
1876	268			
1771	269			
1740	270			
1766	271			
1795	272			
1727	273			
1673	274			
1687	275			
1715	276			
1632	277			
1694	278			
1651	279			
1628	280			
1596	281			
1677	282			
1545	283			
1647	284			
1600	285			
1552	286			
1579	287			
1549	288			
1584	289			
1549	290			
1467	291			
1528	292			
1512	293			
1500	294			
1444	295			
1518	296			
1450	297			
1461	298			
1476	299			
1473	300			
1424	301			
1434	302			
1330	303			
1358	304			
1360	305			
1339	306			
1287	307			
1328	308			
1243	309			
1321	310			
1249	311			
1226	312			
1294	313			
1237	314			
1264	315			
1276	316			
1219	317			
1225	318			
1202	319			
1130	320			
1135	321			
1137	322			
1106	323			
1141	324			
1132	325			
1076	326			
1118	327			
1063	328			
1124	329			
1090	330			
1051	331			
1017	332			
1015	333			
1020	334			
1023	335			
977	336			
990	337			
1051	338			
980	339			
1003	340			
1019	341			
1036	342			
1003	343			
933	344			
979	345			
943	346			
990	347			
943	348			
953	349			
980	350			
1025	351			
1032	352			
1098	353			
1160	354			
1241	355			
1401	356			
1482	357			
1708	358			
1960	359			
2103	360			
2225	361			
2420	362			
2443	363			
2624	364			
2662	365			
2572	366			
2645	367			
2529	368			
2464	369			
2480	370			
2536	371			
2383	372			
2282	373			
2324	374			
2258	375			
2210	376			
2096	377			
2052	378			
2026	379			
1885	380			
1936	381			
1869	382			
1835	383			
1824	384			
1752	385			
